osm_type,osm_id,lat,lon,name,amenity,shop,office,building,landuse,tourism,historic
node,1398368065,54.7238626,25.2329701,Euro Atletas,,convenience,,,,,
node,1398368120,54.7240237,25.2328196,Gausa,,clothes,,,,,
node,1398368163,54.7255123,25.2328133,Pizzart,fast_food,,,,,,
node,1398368210,54.7258701,25.2315161,Kirpykla,,hairdresser,,,,,
node,1398368211,54.72942,25.2273179,Jammi kebabai,fast_food,,,,,,
node,1398368293,54.7242487,25.2327786,101 kepyklėlė,,bakery,,,,,
node,1398368313,54.7257864,25.2315268,Edoro,,hifi,,,,,
node,1398368345,54.7260528,25.2315215,Ivera,,hairdresser,,,,,
node,1398368372,54.7253062,25.2330932,Ego forma,,hairdresser,,,,,
node,1398988337,54.7099384,25.2223212,Pas Romą,restaurant,,,,,,
node,1403269166,54.6756125,25.2888461,Bunte gans,restaurant,,,,,,
node,1403273492,54.6760076,25.2883056,The Portobello,pub,,,,,,
node,1403277428,54.6748518,25.2881418,Pas bazilijonus,,,,,,hotel,
node,1403282492,54.6766389,25.2888388,California tapas&wine,bar,,,,,,
node,1403282593,54.6766034,25.2889573,San Marco,restaurant,,,,,,
node,1403336840,54.6843881,25.2861751,Dua restoranas,bar,,,,,,
node,1403336847,54.6871543,25.2786589,Adidas,,clothes,,,,,
node,1405086926,54.6815241,25.2655786,Fėjų kepyklėlė,cafe,bakery,,,,,
node,1405086927,54.6819261,25.2674982,Pogulianka,restaurant,,,,,,
node,1416906275,54.7302582,25.2371326,Moller Auto,,car,,,,,
