lat_round,lon_round,jam_weight,event_count,total_duration,avg_duration,location_name,lat,lon,jam_score
54.66333,25.17118,9722.5,78,7870.0,100.8974358974359,Gariūnų g. link Gariūnų–Paneriškių g. sankryžos (iš centro),54.663333235359154,25.171179856031902,0.07693220707800044
54.66342,25.24015,140.0,1,140.0,140.0,Vilkpėdės g. link Savanorių pr.–Vilkpėdės g. sankryžos,54.66342138371724,25.2401539784838,0.0011077921307194715
54.6635,25.17131,6380.0,75,6380.0,85.06666666666666,Gariūnų g. link Gariūnų-Paneriškių g. sankryžos (iš centro),54.66350461408456,25.1713064538138,0.050483669957073055
54.66353,25.23572,1050.0,11,1050.0,95.45454545454545,Savanorių pr. link Savanorių - Riovonių g. sankryžos (iš centro),54.66352876498635,25.23572379439397,0.008308440980396035
54.66355,25.23836,62.5,1,25.0,25.0,Vilkpėdės g. link Naugarduko g. (nuo Savanorių pr.),54.66355203088121,25.23836479607648,0.0004945500583569069
54.6638,25.172,1575.0,33,2250.0,68.18181818181819,Gariūnų g. link Gariūnų–Paneriškių g. sankryžos,54.663799276923896,25.172001461333256,0.012462661470594053
54.66401,25.17204,120.0,2,120.0,60.0,Gariūnų g. link Gariūnų–Paneriškių g. sankryžos (iš centro),54.6640137151416,25.17203957419239,0.0009495361120452613
54.66418,25.17215,14540.0,72,8435.0,117.15277777777777,Gariūnų g. link Gariūnų–Paneriškių g. sankryžos (iš centro),54.66418444405732,25.172149842236518,0.11505212557615081
54.6642,25.23614,1137.5,8,455.0,56.875,Savanorių pr. link Sanavorių pr.–Vilkpedės g. sankryžos (iš centro),54.66419733056285,25.236136146125535,0.009000811062095705
54.66428,25.17224,24467.5,122,13525.0,110.86065573770492,Gariūnų g. link Gariūnų–Paneriškių g. sankryžos,54.664279556263146,25.172240956435818,0.1936064568455619
54.66441,25.17236,5731.5,123,8040.0,65.36585365853658,Gariūnų g. link Gariūnų–Paneriškių g. sankryžos (iš centro),54.66440780078215,25.172357127026178,0.04535221855156179
54.66515,25.17295,8559.0,88,8670.0,98.52272727272727,Gariūnų g. link Gariūnų–Paneriškių g. sankryžos (iš centro),54.66515006401537,25.17294806593823,0.06772566319162826
54.66515,25.23691,1775.0,6,710.0,118.33333333333333,Savanorių pr. link Sanavorių pr.–Vilkpedės g. sankryžos (nuo centro),54.66515099424844,25.23690900571073,0.014045221657336156
54.6652,25.23678,1237.5,3,495.0,165.0,Savanorių pr. link Sanavorių pr.–Vilkpedės g. sankryžos (iš centro),54.665196562115796,25.236778578858583,0.009792091155466757
54.66526,25.17314,15087.5,47,6035.0,128.40425531914894,Gariūnų g. link Gariūnų–Paneriškių g. sankryžos (iš centro),54.66525758636036,25.17313749184123,0.11938438408735733
54.66539,25.23683,640.0,5,370.0,74.0,Savanorių pr. link Sanavorių pr.–Vilkpedės g. sankryžos (nuo centro),54.66538993544874,25.236828707937217,0.005064192597574726
54.66541,25.23688,585.0,6,585.0,97.5,Savanorių pr. link Sanavorių pr.–Vilkpedės g. sankryžos (iš centro),54.66540753278679,25.236875137945873,0.004628988546220648
