cluster,lat,lon,poi_count,cluster_area_km2,education,leisure,other,religion,retail,transport,work,seniunija,seniunija_nr,total_ev_score,ev_density,population,young_share,working_share,senior_share,district_area_km2,district_pop_density,jam_score_norm,poi_total,poi_density,dist_to_existing_m,lag_neighborhood_traffic,lag_neighborhood_retail,lag_neighborhood_leisure,predicted_ev_density,demand_score,svm_label,svm_probability,svm_prediction
42,54.68522017777778,25.053708244444447,9,0.0127849004151087,0,3,0,0,0,6,0,Grigiškės,21.0,59.83130377218588,4679.841205605291,10486.0,0.235561323815704,0.5648465745805136,0.1995921016037823,7.009228254469938,1496.027753599385,0.0,9,703.9554245854077,5238.493458764057,0.0,0.0,234.6518081951359,6482.914732786012,0.1840422748748107,0,0.3033143368806866,0
111,54.65502185,25.227445683333332,6,0.0095742244125438,0,1,0,0,4,1,0,Vilkpėdė,18.0,58.83474631695441,6145.118787885446,19310.0,0.2016750932025943,0.6008886165160104,0.1974362902813952,10.747060251439992,1796.7704235595652,0.1493562033409003,6,626.682615893045,912.3279077280008,0.1493562033409003,291.529285076951,44.76545640266488,6467.912310392413,0.1836163738627262,0,0.1897069070309331,0
85,54.6831779826087,25.213167352173915,23,0.0300697287305857,0,6,1,1,8,4,3,Lazdynai,11.0,72.96378657750337,2426.4863587973637,23932.0,0.2434296365330848,0.5691829760795278,0.1873873873873874,9.95551425327569,2403.8939015255382,0.1743439950603415,23,764.8888423993443,539.7213312097741,0.4960265547924034,164.94771203952598,106.27303938310374,6452.318043090541,0.1831736710743141,0,0.4822812182168866,1
15,54.700892841666665,25.410341433333333,12,0.0164123599875242,1,1,1,0,6,3,0,Naujoji Vilnia,14.0,58.39101339713762,3557.746322986052,36502.0,0.2709707064905227,0.5830672027570362,0.1459620907524411,38.65558284421724,944.2879220604116,0.0,12,731.1562754607967,918.6258740661484,0.0,365.57813773039834,60.929689621733054,6439.9125036558235,0.1828214924952765,0,0.25982995833913847,0
79,54.68985262,25.21097273,10,0.0180726350618603,1,2,0,0,4,2,1,Karoliniškės,10.0,94.64345777921784,5236.837763572687,24448.0,0.2181765219924264,0.5360159793599933,0.2458074986475802,3.7638223321865,6495.524454204919,0.8197958688104301,10,553.3227426864587,391.0245560050589,0.8197958688104301,149.68002998542943,76.805997500444,6415.062758465574,0.182116037646126,-1,0.3793748626689966,1
122,54.7077175,25.243770242857146,7,0.0149420561724347,1,2,0,0,0,4,0,Šeškinė,5.0,89.63538984237825,5998.865805881441,31102.0,0.2077624052148463,0.5527471065584675,0.2394904882266861,4.46216580764561,6970.157842792147,0.7189901509724219,7,468.476354205768,852.009896257941,0.7002376550881326,23.977605432554913,67.47123565387311,6398.934483838792,0.1816581750219106,0,0.3753627195918393,1
157,54.6778649,25.31700012,5,0.0078432306198569,0,0,0,0,5,0,0,Rasos,15.0,68.67941688425785,8756.521414833893,12361.0,0.259793501366535,0.5954296993622836,0.1447767992711812,16.19235341738865,763.3850176914843,1.0,5,637.4924112700928,1231.682134437072,0.9108568108799258,334.26422467573764,100.20520546879268,6318.390131739941,0.1793716162131662,0,0.16958226331731327,0
76,54.71634034210526,25.229218089473683,19,0.0286544323844149,0,1,0,0,7,7,1,Viršuliškės,9.0,68.83413107423826,2402.2158300255505,4014.037054284857,0.2267200686597053,0.542411672149907,0.2308682591903876,2.5272827250660392,1588.2817598810468,0.6271437258142741,16,663.0736824622661,112.69585094203995,0.5922266796188325,225.43353589681695,49.47617273085703,6203.871024037933,0.176120554311716,1,0.45978960309406536,1
89,54.68915264615384,25.252325092307693,13,0.0228645215476051,3,4,0,0,0,1,5,Žvėrynas,6.0,85.08566801436561,3721.2966751660606,12089.0,0.3000692520775623,0.5484764542936288,0.1514542936288088,2.6207114544034837,4612.869524299329,0.8713488905968868,13,568.5664566797664,524.7801648250036,0.8713488905968867,52.70425610159093,112.4756098250798,6103.030761319559,0.1732578186265148,0,0.30722233594070036,0
159,54.681333333333335,25.31172196190476,21,0.0335907918755948,0,3,1,0,7,9,0,Senamiestis,16.0,74.97387085436148,2231.976880212619,10158.0,0.2599523155841341,0.6226789971822845,0.1173686872335813,4.406772086999922,2305.0885771847225,0.8726525869713228,20,625.1713290289364,841.1560742114613,0.9045321640507596,296.05831204175684,98.8495033481521,6070.174180073875,0.1723250591801375,0,0.19085962314660723,0
