cluster,lat,lon,poi_count,cluster_area_km2,education,healthcare,leisure,other,religion,retail,transport,work,cluster_poi_density
165,54.73686204375,25.2116038875,16,0.028631965506004116,0,0,2,0,0,7,7,0,558.8159847651676
101,54.70204658666667,25.211001473333333,15,0.017231681108980733,0,0,3,0,0,3,5,4,870.4896466649656
11,54.64707163333333,25.139837833333335,15,0.2784879847448238,0,0,2,0,0,2,4,7,53.86228786044172
135,54.664889233333334,25.249700586666666,15,0.07047831864342932,0,0,1,0,0,4,8,2,212.831410974621
154,54.718322435714285,25.237286942857143,14,0.04519409042433287,1,0,0,0,0,3,10,0,309.77501413464194
125,54.654206692857144,25.269001685714283,14,0.05358862646682198,0,0,1,0,0,2,8,3,261.24946510184844
170,54.663852764285714,25.241747028571428,14,0.05028149897671134,0,1,1,0,0,3,8,1,278.4324311111791
5,54.728917569230774,25.374702723076926,13,0.19355968980471333,3,0,1,0,0,1,6,2,67.16274454208926
12,54.666227299999996,25.1616369,13,0.0687762509424794,0,0,1,0,0,4,6,2,189.01873570969246
89,54.68915264615384,25.252325092307693,13,0.02286452154760511,3,0,4,0,0,0,1,5,568.5664566797661
124,54.646352161538466,25.26572843846154,13,0.05016266643610624,0,0,0,0,0,4,7,2,259.15687748693557
139,54.67844362307692,25.251392669230768,13,0.028865353790690287,2,0,2,0,0,2,6,1,450.36690332175266
36,54.69347464166666,25.399387216666668,12,0.2790396273665832,0,0,2,0,1,2,4,3,43.004644584889796
149,54.71371009166666,25.23779340833333,12,0.04189847585086055,1,0,0,0,0,3,7,1,286.40659967475955
15,54.700892841666665,25.410341433333333,12,0.016412359987524217,1,0,1,1,0,6,3,0,731.1562754607959
13,54.66230289999999,25.341964175,12,0.02870872463846653,0,0,2,0,0,3,7,0,417.99139986599477
53,54.73248147499999,25.185581,12,0.05799983626473686,0,1,0,3,0,2,6,0,206.89713579925814
148,54.691487572727276,25.245944145454544,11,0.017836535577798004,0,0,1,0,1,0,7,2,616.7116900039844
39,54.778585027272726,25.342001827272725,11,0.027867094360710772,1,2,1,0,0,5,2,0,394.73078382756216
92,54.665212881818185,25.274667072727276,11,0.025448784533077307,0,0,1,0,0,6,4,0,432.24068268182486
138,54.682079481818185,25.25456567272727,11,0.005,0,2,0,0,0,4,0,5,2200.0
184,54.63030948181818,25.261194563636366,11,0.035303368251013566,0,0,0,0,0,1,10,0,311.5850000993655
132,54.694208136363635,25.29841521818182,11,0.0264958444412875,0,0,2,1,0,1,5,2,415.15944224291655
136,54.72200341818182,25.332244445454545,11,0.01782966985641032,4,0,2,0,0,1,4,0,616.9491689182993
155,54.722620600000006,25.33724398,10,0.02766912173339305,1,0,2,0,0,0,7,0,361.4137122368902
140,54.685326970000006,25.20518948,10,0.018970821486391846,0,0,2,0,0,5,3,0,527.1253017257688
1,54.70946903,25.10137968,10,0.021774787672576717,0,0,1,0,0,5,1,3,459.2467283891844
16,54.762446020000006,25.1856848,10,0.07502584249228018,2,0,0,0,0,4,3,1,133.2874069495315
79,54.689852619999996,25.21097273,10,0.01807263506186035,1,0,2,0,0,4,2,1,553.3227426864572
26,54.65255866,25.18718615,10,0.011854231078357676,0,0,1,0,0,0,8,1,843.580653515102
152,54.73645252222222,25.225051011111113,9,0.01889754996239234,0,0,1,0,0,2,5,1,476.25221353618497
8,54.66195708888889,25.301007777777777,9,0.03555414987250387,0,0,0,0,1,7,1,0,253.13500765096998
160,54.669575555555554,25.277593033333332,9,0.02170154736150102,0,0,2,0,1,2,3,1,414.7169715633356
38,54.66771876666667,25.174064844444445,9,0.03832272481222636,0,0,1,0,0,4,4,0,234.84760136702673
121,54.71216625555556,25.229648088888887,9,0.013676041996324996,1,0,0,0,1,4,3,0,658.0851391373664
108,54.71168235555555,25.255606333333333,9,0.011792589121494374,0,0,1,0,0,4,4,0,763.1911794158658
147,54.72537072222222,25.221844633333333,9,0.025945580847128447,2,0,0,0,0,2,5,0,346.879881126118
164,54.67427112222222,25.297337088888888,9,0.036087254532871996,2,0,0,0,1,1,4,1,249.3955308182802
42,54.68522017777778,25.053708244444447,9,0.012784900415108795,0,0,3,0,0,0,6,0,703.9554245854025
46,54.601960633333334,25.179445866666665,9,0.03407070232092803,0,0,1,0,1,1,6,0,264.15657403316055
116,54.737779422222225,25.217622688888888,9,0.005009615363026474,0,0,1,0,0,5,3,0,1796.5451133084205
34,54.7182580375,25.194630725,8,0.11671216203285203,3,0,1,0,0,1,2,1,68.54469886135917
90,54.702496725,25.30376055,8,0.005,0,0,3,0,0,2,3,0,1600.0
144,54.7211171875,25.2237353625,8,0.029290937700735906,1,0,1,0,0,2,4,0,273.12201752417803
27,54.64962025,25.19406045,8,0.04924405891939044,0,0,0,0,0,0,6,2,162.4561454833672
156,54.647568462500004,25.21200085,8,0.011756708991935086,0,0,1,0,0,4,2,1,680.4625346674713
110,54.724766125,25.34180975,8,0.005153531255998643,0,1,3,0,0,0,4,0,1552.3336529080143
19,54.772383624999996,25.2722771125,8,0.011415607191475594,0,0,2,0,0,3,3,0,700.794961302966
10,54.6843251875,25.356723825,8,0.05900502754026528,0,0,4,0,0,1,3,0,135.5816670798224
